7350
(-1.650000, -0.750000, 1.124704) (-1.750000, -0.750000, 1.124704) (0.000000, 1.000000) 
(-1.750000, -0.650000, 1.059076) (-1.750000, -0.750000, 1.059076) (0.000000, 1.000000) 
(-1.750000, -0.650000, 1.059076) (-1.750000, -0.750000, 1.059076) (0.000000, 1.000000) 
(-1.650000, -0.750000, 1.124704) (-1.750000, -0.750000, 1.124704) (0.000000, 1.000000) 
(-1.650000, -0.650000, 0.998557) (-1.750000, -0.750000, 0.998557) (0.000000, 1.000000) 
(-1.750000, -0.650000, 1.059076) (-1.750000, -0.650000, 1.059076) (0.000000, 1.000000) 
(-1.650000, -0.650000, 0.998557) (-1.750000, -0.650000, 0.998557) (0.000000, 1.000000) 
(-1.750000, -0.550000, 0.914702) (-1.750000, -0.650000, 0.914702) (0.000000, 1.000000) 
(-1.750000, -0.550000, 0.914702) (-1.750000, -0.650000, 0.914702) (0.000000, 1.000000) 
(-1.650000, -0.650000, 0.998557) (-1.750000, -0.650000, 0.998557) (0.000000, 1.000000) 
(-1.650000, -0.550000, 0.862433) (-1.750000, -0.650000, 0.862433) (0.000000, 1.000000) 
(-1.750000, -0.550000, 0.914702) (-1.750000, -0.550000, 0.914702) (0.000000, 1.000000) 
(-1.650000, -0.550000, 0.862433) (-1.750000, -0.550000, 0.862433) (0.000000, 1.000000) 
(-1.750000, -0.450000, 0.761189) (-1.750000, -0.550000, 0.761189) (0.000000, 1.000000) 
(-1.750000, -0.450000, 0.761189) (-1.750000, -0.550000, 0.761189) (0.000000, 1.000000) 
(-1.650000, -0.550000, 0.862433) (-1.750000, -0.550000, 0.862433) (0.000000, 1.000000) 
(-1.650000, -0.450000, 0.717693) (-1.750000, -0.550000, 0.717693) (0.000000, 1.000000) 
(-1.750000, -0.450000, 0.761189) (-1.750000, -0.450000, 0.761189) (0.000000, 1.000000) 
(-1.650000, -0.450000, 0.717693) (-1.750000, -0.450000, 0.717693) (0.000000, 1.000000) 
(-1.750000, -0.350000, 0.600071) (-1.750000, -0.450000, 0.600071) (0.000000, 1.000000) 
(-1.750000, -0.350000, 0.600071) (-1.750000, -0.450000, 0.600071) (0.000000, 1.000000) 
(-1.650000, -0.450000, 0.717693) (-1.750000, -0.450000, 0.717693) (0.000000, 1.000000) 
(-1.650000, -0.350000, 0.565781) (-1.750000, -0.450000, 0.565781) (0.000000, 1.000000) 
(-1.750000, -0.350000, 0.600071) (-1.750000, -0.350000, 0.600071) (0.000000, 1.000000) 
(-1.650000, -0.350000, 0.565781) (-1.750000, -0.350000, 0.565781) (0.000000, 1.000000) 
(-1.750000, -0.250000, 0.432956) (-1.750000, -0.350000, 0.432956) (0.000000, 1.000000) 
(-1.750000, -0.250000, 0.432956) (-1.750000, -0.350000, 0.432956) (0.000000, 1.000000) 
(-1.650000, -0.350000, 0.565781) (-1.750000, -0.350000, 0.565781) (0.000000, 1.000000) 
(-1.650000, -0.250000, 0.408216) (-1.750000, -0.350000, 0.408216) (0.000000, 1.000000) 
(-1.750000, -0.250000, 0.432956) (-1.750000, -0.250000, 0.432956) (0.000000, 1.000000) 
(-1.650000, -0.250000, 0.408216) (-1.750000, -0.250000, 0.408216) (0.000000, 1.000000) 
(-1.750000, -0.150000, 0.261516) (-1.750000, -0.250000, 0.261516) (0.000000, 1.000000) 
(-1.750000, -0.150000, 0.261516) (-1.750000, -0.250000, 0.261516) (0.000000, 1.000000) 
(-1.650000, -0.250000, 0.408216) (-1.750000, -0.250000, 0.408216) (0.000000, 1.000000) 
(-1.650000, -0.150000, 0.246572) (-1.750000, -0.250000, 0.246572) (0.000000, 1.000000) 
(-1.750000, -0.150000, 0.261516) (-1.750000, -0.150000, 0.261516) (0.000000, 1.000000) 
(-1.650000, -0.150000, 0.246572) (-1.750000, -0.150000, 0.246572) (0.000000, 1.000000) 
(-1.750000, -0.050000, 0.087463) (-1.750000, -0.150000, 0.087463) (0.000000, 1.000000) 
(-1.750000, -0.050000, 0.087463) (-1.750000, -0.150000, 0.087463) (0.000000, 1.000000) 
(-1.650000, -0.150000, 0.246572) (-1.750000, -0.150000, 0.246572) (0.000000, 1.000000) 
(-1.650000, -0.050000, 0.082465) (-1.750000, -0.150000, 0.082465) (0.000000, 1.000000) 
(-1.750000, -0.050000, 0.087463) (-1.750000, -0.050000, 0.087463) (0.000000, 1.000000) 
(-1.650000, -0.050000, 0.082465) (-1.750000, -0.050000, 0.082465) (0.000000, 1.000000) 
(-1.750000, 0.050000, -0.087464) (-1.750000, -0.050000, -0.087464) (0.000000, 1.000000) 
(-1.750000, 0.050000, -0.087464) (-1.750000, -0.050000, -0.087464) (0.000000, 1.000000) 
(-1.650000, -0.050000, 0.082465) (-1.750000, -0.050000, 0.082465) (0.000000, 1.000000) 
(-1.650000, 0.050000, -0.082466) (-1.750000, -0.050000, -0.082466) (0.000000, 1.000000) 
(-1.750000, 0.050000, -0.087464) (-1.750000, 0.050000, -0.087464) (0.000000, 1.000000) 
(-1.650000, 0.050000, -0.082466) (-1.750000, 0.050000, -0.082466) (0.000000, 1.000000) 
(-1.750000, 0.150000, -0.261517) (-1.750000, 0.050000, -0.261517) (0.000000, 1.000000) 
(-1.750000, 0.150000, -0.261517) (-1.750000, 0.050000, -0.261517) (0.000000, 1.000000) 
(-1.650000, 0.050000, -0.082466) (-1.750000, 0.050000, -0.082466) (0.000000, 1.000000) 
(-1.650000, 0.150000, -0.246573) (-1.750000, 0.050000, -0.246573) (0.000000, 1.000000) 
(-1.750000, 0.150000, -0.261517) (-1.750000, 0.150000, -0.261517) (0.000000, 1.000000) 
(-1.650000, 0.150000, -0.246573) (-1.750000, 0.150000, -0.246573) (0.000000, 1.000000) 
(-1.750000, 0.250000, -0.432957) (-1.750000, 0.150000, -0.432957) (0.000000, 1.000000) 
(-1.750000, 0.250000, -0.432957) (-1.750000, 0.150000, -0.432957) (0.000000, 1.000000) 
(-1.650000, 0.150000, -0.246573) (-1.750000, 0.150000, -0.246573) (0.000000, 1.000000) 
(-1.650000, 0.250000, -0.408217) (-1.750000, 0.150000, -0.408217) (0.000000, 1.000000) 
(-1.750000, 0.250000, -0.432957) (-1.750000, 0.250000, -0.432957) (0.000000, 1.000000) 
(-1.650000, 0.250000, -0.408217) (-1.750000, 0.250000, -0.408217) (0.000000, 1.000000) 
(-1.750000, 0.350000, -0.600072) (-1.750000, 0.250000, -0.600072) (0.000000, 1.000000) 
(-1.750000, 0.350000, -0.600072) (-1.750000, 0.250000, -0.600072) (0.000000, 1.000000) 
(-1.650000, 0.250000, -0.408217) (-1.750000, 0.250000, -0.408217) (0.000000, 1.000000) 
(-1.650000, 0.350000, -0.565782) (-1.750000, 0.250000, -0.565782) (0.000000, 1.000000) 
(-1.750000, 0.350000, -0.600072) (-1.750000, 0.350000, -0.600072) (0.000000, 1.000000) 
(-1.650000, 0.350000, -0.565782) (-1.750000, 0.350000, -0.565782) (0.000000, 1.000000) 
(-1.750000, 0.450000, -0.761190) (-1.750000, 0.350000, -0.761190) (0.000000, 1.000000) 
(-1.750000, 0.450000, -0.761190) (-1.750000, 0.350000, -0.761190) (0.000000, 1.000000) 
(-1.650000, 0.350000, -0.565782) (-1.750000, 0.350000, -0.565782) (0.000000, 1.000000) 
(-1.650000, 0.450000, -0.717694) (-1.750000, 0.350000, -0.717694) (0.000000, 1.000000) 
(-1.750000, 0.450000, -0.761190) (-1.750000, 0.450000, -0.761190) (0.000000, 1.000000) 
(-1.650000, 0.450000, -0.717694) (-1.750000, 0.450000, -0.717694) (0.000000, 1.000000) 
(-1.750000, 0.550000, -0.914703) (-1.750000, 0.450000, -0.914703) (0.000000, 1.000000) 
(-1.750000, 0.550000, -0.914703) (-1.750000, 0.450000, -0.914703) (0.000000, 1.000000) 
(-1.650000, 0.450000, -0.717694) (-1.750000, 0.450000, -0.717694) (0.000000, 1.000000) 
(-1.650000, 0.550000, -0.862434) (-1.750000, 0.450000, -0.862434) (0.000000, 1.000000) 
(-1.750000, 0.550000, -0.914703) (-1.750000, 0.550000, -0.914703) (0.000000, 1.000000) 
(-1.650000, 0.550000, -0.862434) (-1.750000, 0.550000, -0.862434) (0.000000, 1.000000) 
(-1.750000, 0.650000, -1.059077) (-1.750000, 0.550000, -1.059077) (0.000000, 1.000000) 
(-1.750000, 0.650000, -1.059077) (-1.750000, 0.550000, -1.059077) (0.000000, 1.000000) 
(-1.650000, 0.550000, -0.862434) (-1.750000, 0.550000, -0.862434) (0.000000, 1.000000) 
(-1.650000, 0.650000, -0.998558) (-1.750000, 0.550000, -0.998558) (0.000000, 1.000000) 
(-1.750000, 0.650000, -1.059077) (-1.750000, 0.650000, -1.059077) (0.000000, 1.000000) 
(-1.650000, 0.650000, -0.998558) (-1.750000, 0.650000, -0.998558) (0.000000, 1.000000) 
(-1.750000, 0.750000, -1.192868) (-1.750000, 0.650000, -1.192868) (0.000000, 1.000000) 
(-1.750000, 0.750000, -1.192868) (-1.750000, 0.650000, -1.192868) (0.000000, 1.000000) 
(-1.650000, 0.650000, -0.998558) (-1.750000, 0.650000, -0.998558) (0.000000, 1.000000) 
(-1.650000, 0.750000, -1.124704) (-1.750000, 0.650000, -1.124704) (0.000000, 1.000000) 
(-1.750000, 0.750000, -1.192868) (-1.750000, 0.750000, -1.192868) (0.000000, 1.000000) 
(-1.650000, 0.750000, -1.124704) (-1.750000, 0.750000, -1.124704) (0.000000, 1.000000) 
(-1.750000, 0.850000, -1.314741) (-1.750000, 0.750000, -1.314741) (0.000000, 1.000000) 
(-1.750000, 0.850000, -1.314741) (-1.750000, 0.750000, -1.314741) (0.000000, 1.000000) 
(-1.650000, 0.750000, -1.124704) (-1.750000, 0.750000, -1.124704) (0.000000, 1.000000) 
(-1.650000, 0.850000, -1.239613) (-1.750000, 0.750000, -1.239613) (0.000000, 1.000000) 
(-1.750000, 0.850000, -1.314741) (-1.750000, 0.850000, -1.314741) (0.000000, 1.000000) 
(-1.650000, 0.850000, -1.239613) (-1.750000, 0.850000, -1.239613) (0.000000, 1.000000) 
(-1.750000, 0.950000, -1.423478) (-1.750000, 0.850000, -1.423478) (0.000000, 1.000000) 
(-1.750000, 0.950000, -1.423478) (-1.750000, 0.850000, -1.423478) (0.000000, 1.000000) 
(-1.650000, 0.850000, -1.239613) (-1.750000, 0.850000, -1.239613) (0.000000, 1.000000) 
(-1.650000, 0.950000, -1.342136) (-1.750000, 0.850000, -1.342136) (0.000000, 1.000000) 
(-1.750000, 0.950000, -1.423478) (-1.750000, 0.950000, -1.423478) (0.000000, 1.000000) 
(-1.650000, 0.950000, -1.342136) (-1.750000, 0.950000, -1.342136) (0.000000, 1.000000) 
(-1.750000, 1.050000, -1.517991) (-1.750000, 0.950000, -1.517991) (0.000000, 1.000000) 
(-1.750000, 1.050000, -1.517991) (-1.750000, 0.950000, -1.517991) (0.000000, 1.000000) 
(-1.650000, 0.950000, -1.342136) (-1.750000, 0.950000, -1.342136) (0.000000, 1.000000) 
(-1.650000, 1.050000, -1.431249) (-1.750000, 0.950000, -1.431249) (0.000000, 1.000000) 
(-1.750000, 1.050000, -1.517991) (-1.750000, 1.050000, -1.517991) (0.000000, 1.000000) 
